,,,,,,,|----Ion Chromatography---|,,,,,,ICP Majors,,,,,,ICP Minors,,,,,,,,,,,,,,,,,,,ICP-MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,PO4-P,NPOC,TN,F-,Cl-,Br-,NO3-,SO4=,,Ca,K,Mg ,Na,S,,Al  ,As,B,Cd,Co,Cr,Cu,Fe,Mn,Mo,Ni,P,Pb,Sb,Se,Si,Sr,Zn,,Li,Sc,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Tl,Pb,Bi,Th,U
Lab. ID,Sample ID,,,mg/L,mg/L,mg/L,mg/l,mg/l,mg/l,mg/l,mg/l,,mg/L,mg/L,mg/L,mg/L,mg/L,,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MXSCSJT0013 AN,MXSCSJT0013 CAT,,0.021,19,63,<0.05,98,0.6,3.1,0.2,,31,30,22,157,0.9,,<0.05,<0.05,0.07,<0.05,<0.05,<0.05,<0.05,11,2.2,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,5.0,0.33,0.12,,1.1,0.95,0.52,0.9,,,4.18,3.7,1.9,131,<0.1,0.4,0.6,0.2,12.1,384.5,0.44,0.13,<0.1,0.4,<0.2,<0.1,<0.05,1.5,<0.1,<0.4,<0.05,77.3,0.25,0.54,0.08,0.30,0.06,<0.05,0.07,<0.05,0.07,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,0.4,<0.1,<0.1,0.19
14,MXSCSJT0014.01A AN,MXSCSJT0014.01A CAT,,0.025,7.9,1.2,2.0,1266,4.7,1.8,282,,73,26,122,762,88,,<0.05,<0.05,0.25,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,13,1.0,0.09,,28.9,2.2,<0.1,0.4,4.9,41,0.6,24.0,2.0,109,<0.2,<0.4,<0.4,3.1,9.9,,0.8,0.2,<0.2,1.5,<0.4,<0.2,<0.1,<0.4,<0.2,<0.8,<0.1,39.3,<0.1,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.2,<0.4,<0.2,<0.4,<0.2,<0.2,67.3
15,MXSCSJT0014.01B AN,MXSCSJT0014.01B CAT,,0.020,7.1,0.9,2.0,1285,4.8,1.8,287,,73,28,123,763,89,,<0.05,<0.05,0.25,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,14,1.0,0.09,,28.3,2.1,<0.1,<0.4,4.2,42,0.7,24.7,1.9,116,<0.2,<0.4,<0.4,3.0,9.9,,0.7,<0.1,<0.2,1.5,<0.4,<0.2,<0.1,<0.4,<0.2,<0.8,<0.1,39.5,<0.1,0.2,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.2,<0.4,<0.2,<0.4,<0.2,<0.2,65.3
16,MXSCSJT0015 AN,MXSCSJT0015 CAT,,0.022,8.4,2.0,0.3,2055,8.0,<0.2,444,,80,46,142,932,136,,<0.05,<0.05,0.56,<0.05,<0.05,<0.05,<0.05,6.5,0.65,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,0.7,1.5,<0.05,,31.4,0.1,<0.1,<0.4,750,,0.7,1.0,-0.2,23,<0.2,<0.4,<0.4,<0.4,43.7,,<0.1,<0.1,<0.2,1.0,<0.4,<0.2,<0.1,<0.4,<0.2,<0.8,12.2,28.9,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.2,<0.4,<0.2,<0.4,<0.2,<0.2,0.2
17,MXSCSJT0016.01A AN,MXSCSJT0016.01A CAT,,0.017,6.7,0.4,<0.05,0.9,<0.05,<0.05,0.2,,<0.1,0.5,<0.1,0.3,<0.2,,<0.05,<0.05,0.58,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,0.3,<0.05,<0.05,,<0.2,0.05,<0.05,<0.2,0.3,12,<0.05,<0.2,<0.2,6.9,<0.1,<0.2,<0.2,<0.2,<0.2,0.23,<0.05,<0.05,<0.1,<0.2,<0.2,<0.1,<0.05,<0.2,<0.1,<0.4,<0.05,<0.2,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.05,<0.1,<0.2,<0.1,<0.2,<0.1,<0.1,<0.05
18,MXSCSJT0016.01B AN,MXSCSJT0016.01B CAT,,0.020,7.0,1.9,0.2,663,2.8,2.3,241,,1.3,69,16,783,73,,<0.05,<0.05,1.1,<0.05,<0.05,<0.05,<0.05,<0.1,<0.05,<0.05,<0.05,<0.2,<0.05,<0.1,<0.05,0.3,<0.05,<0.05,,47.8,<0.1,<0.1,<0.4,1.0,5,<0.1,<0.4,1.0,8,<0.2,<0.4,1.1,0.5,17.3,8.13,<0.1,<0.1,<0.2,6.8,<0.4,0.0,<0.1,<0.4,0.3,<0.8,<0.1,0.6,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.1,<0.2,0.6,<0.2,<0.4,<0.2,<0.2,0.5
19,MXSCSJT0017.01A AN,MXSCSJT0017.01A CAT,,0.246,68,6.6,1,8018,29,2,2270,,77,142,367,4623,681,,<0.05,<0.05,2.6,<0.05,<0.05,<0.05,<0.05,<0.1,0.09,<0.05,<0.05,0.3,<0.05,<0.1,<0.05,7.9,3.8,<0.05,,36,1.6,6.8,<2,145,12,<0.5,7,3,26,<1,<2,3,<2,18,,0.7,6.5,<1,<2,<2,<1,<0.5,<2,<1,<4,<0.5,34,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<1,<2,<1,<2,<1,<1,144.6
20,MXSCSJT0019 AN,MXSCSJT0019 CAT,,0.418,10,7.9,<1,10309,35,1,3627,,286,190,824,4939,1150,,<0.05,<0.05,1.5,<0.05,<0.05,<0.05,<0.05,0.1,0.17,<0.05,<0.05,0.6,<0.05,<0.1,<0.05,5.9,11,<0.05,,218,1.2,1.1,<2,263,180,<0.5,3,<2,30,<1,<2,<2,<2,20,,<0.5,0.8,<1,<2,<2,<1,<0.5,<2,<1,<4,4.7,102,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<0.5,<1,<2,<1,<2,<1,<1,32.9
21,MXSCSJT0002D AN,,,0.037,2.8,0.7,1.3,457,1.7,<0.05,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MXSCSJT0002B AN,,,0.021,0.1,0.1,<0.05,0.2,<0.05,<0.05,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
